iter	Passed	Remaining
0	58	58745
1	59	29737
2	60	19997
3	60	15118
4	61	12176
5	61	10238
6	62	8844
7	62	7799
8	63	6983
9	63	6333
10	64	5801
11	65	5358
12	65	4983
13	66	4660
14	66	4384
15	67	4140
16	67	3927
17	68	3735
18	69	3567
19	69	3413
20	70	3273
21	70	3145
22	71	3029
23	71	2922
24	72	2824
25	72	2733
26	73	2649
27	74	2570
28	74	2500
29	75	2432
30	75	2368
31	76	2309
32	76	2254
33	77	2202
34	78	2152
35	78	2101
36	79	2057
37	79	2015
38	80	1975
39	80	1937
40	81	1901
41	81	1866
42	82	1834
43	82	1803
44	83	1772
45	84	1743
46	84	1718
47	85	1692
48	85	1666
49	86	1641
50	86	1618
51	87	1596
52	88	1574
53	88	1553
54	89	1533
55	89	1513
56	90	1494
57	90	1475
58	91	1457
59	91	1440
60	92	1423
61	93	1407
62	93	1392
63	94	1377
64	94	1362
65	95	1349
66	95	1335
67	96	1322
68	97	1308
69	97	1296
70	98	1284
71	98	1272
72	99	1258
73	99	1246
74	100	1236
75	100	1225
76	101	1214
77	101	1204
78	102	1194
79	103	1185
80	103	1177
81	104	1167
82	104	1158
83	105	1150
84	106	1141
85	106	1132
86	107	1124
87	107	1115
88	108	1107
89	108	1099
90	109	1091
91	109	1083
92	110	1076
93	110	1069
94	111	1062
95	112	1055
96	112	1048
97	113	1041
98	113	1034
99	114	1028
100	114	1021
101	115	1015
102	116	1010
103	116	1004
104	117	998
105	117	992
106	118	986
107	118	981
108	119	975
109	119	970
110	120	964
111	121	959
112	121	954
113	122	949
114	122	944
115	123	939
116	123	934
117	124	929
118	124	925
119	125	920
120	126	915
121	126	911
122	127	906
123	127	902
124	128	897
125	128	893
126	129	889
127	129	885
128	130	881
129	131	877
130	131	873
131	132	869
132	132	865
133	133	862
134	133	858
135	134	854
136	135	850
137	135	847
138	136	843
139	136	840
140	137	836
141	137	833
142	138	829
143	139	826
144	139	823
145	140	819
146	140	816
147	141	813
148	142	811
149	142	808
150	143	805
151	143	802
152	144	800
153	145	797
154	145	794
155	146	791
156	146	788
157	147	785
158	147	782
159	148	779
160	149	776
161	149	774
162	150	771
163	150	769
164	151	766
165	152	764
166	152	761
167	153	758
168	153	755
169	154	753
170	154	751
171	155	748
172	156	745
173	156	743
174	157	740
175	157	738
176	158	735
177	158	733
178	159	730
179	159	728
180	160	726
181	161	723
182	161	721
183	162	719
184	162	716
185	163	714
186	163	712
187	164	709
188	164	707
189	165	705
190	165	702
191	166	701
192	167	698
193	167	696
194	168	694
195	168	692
196	169	690
197	169	688
198	170	686
199	171	684
200	171	682
201	172	680
202	172	678
203	173	676
204	173	674
205	174	672
206	175	670
207	175	668
208	176	666
209	176	664
210	177	662
211	177	661
212	178	659
213	179	657
214	179	655
215	180	653
216	180	652
217	181	650
218	181	648
219	182	646
220	183	645
221	183	643
222	184	641
223	184	639
224	185	637
225	185	636
226	186	635
227	187	633
228	187	632
229	188	630
230	189	629
231	189	628
232	190	626
233	191	625
234	191	624
235	192	622
236	193	621
237	193	620
238	194	619
239	195	618
240	195	616
241	196	615
242	197	614
243	197	613
244	198	611
245	199	610
246	199	609
247	200	607
248	201	606
249	201	605
250	202	604
251	203	602
252	203	601
253	204	600
254	205	599
255	205	597
256	206	596
257	207	595
258	207	593
259	208	592
260	208	590
261	209	589
262	209	587
263	210	586
264	210	584
265	211	583
266	211	581
267	212	580
268	213	579
269	213	578
270	214	577
271	215	575
272	215	574
273	216	572
274	216	571
275	217	570
276	217	568
277	218	567
278	219	566
279	219	564
280	220	563
281	220	562
282	221	560
283	221	559
284	222	558
285	223	556
286	223	555
287	224	554
288	224	552
289	225	551
290	225	550
291	226	548
292	226	547
293	227	546
294	228	544
295	228	543
296	229	542
297	229	541
298	230	540
299	231	539
300	231	537
301	232	537
302	233	536
303	233	535
304	234	534
305	235	533
306	235	532
307	236	531
308	237	530
309	237	529
310	238	528
311	239	527
312	239	526
313	240	525
314	241	524
315	241	523
316	242	522
317	243	521
318	244	521
319	245	520
320	245	520
321	246	519
322	247	518
323	247	517
324	248	516
325	249	515
326	249	514
327	250	513
328	251	512
329	251	511
330	252	510
331	252	508
332	253	508
333	254	506
334	255	506
335	255	505
336	256	504
337	256	502
